id	section	action	tab	slug	target	review	reason	title
41193838887191	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Single Journal Page Zoom-In
41193838865303	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Details: Cost
41193820897559	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Details: Open Access
41193790734359	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Details: Impact
41193790703127	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Details: Fulfillment
41193820874519	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Glossary
41193798539159	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Donation
41193838748951	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Benefits and Features
41193820857495	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Pricing
41193805009815	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	What does "Edit Subscriptions" do and how does it work?
41193819357591	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	How do we calculate ILL requests and ILL cost?
41193804944791	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Release Notes
41193790596247	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	FAQ
41193819279255	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Publishing costs (APCs)
41193838583191	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Overview
41193819205015	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Description of data fields
41193838534039	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Configuration settings
41193838518807	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Cost Effectiveness (NCPPU)
41193838501783	Unsub	redirect			https://docs.unsub.org/		Unsub product docs live at docs.unsub.org (#669 supplies exact mapping)	Getting Started
41193790460055	Unpaywall	migrate	docs	recommendation-for-irs-license-reporting			Unpaywall → docs	Recommendation for IRs: License reporting
41193820666263	Unpaywall	migrate	docs	how-are-documents-located-from-repository-records			Unpaywall → docs	How are documents located from repository records?
41193798254743	Unpaywall	migrate	docs	how-are-repository-records-matched-to-published-articles			Unpaywall → docs	How are repository records matched to published articles?
41193790429975	Unpaywall	migrate	docs	recommendation-for-irs-version-reporting			Unpaywall → docs	Recommendation for IRs: Version reporting
41193838350359	Unpaywall	migrate	docs	how-do-i-make-the-unpaywall-extension-work-on-my-site			Unpaywall → docs	How do I make the Unpaywall extension work on my site?
41193804772631	Unpaywall	migrate	docs	preventing-code-injection-using-text-from-unpaywall-safely			Unpaywall → docs	Preventing Code Injection - Using Text From Unpaywall Safely
